id,pro_id,last_dip_qty,elapsed_hours,temperature,humidity,total_sales_qty,total_sales_count,total_purchase_qty,total_purchase_count,qty,variance,abs_variance,change_in_qty,true_label,predicted_label
76,14,0.73,24.1833,18.90,54.03,0.45,10,1.37,1,0.28,1.37,1.37,1.37,missing_purchase,
77,14,0.28,24.3000,24.95,48.62,0.09,10,0.00,0,0.12,0.07,0.07,0.07,evaporation,
78,14,0.12,24.1667,21.79,43.80,0.35,5,1.10,1,0.00,0.87,0.87,0.87,missing_purchase,
79,14,0.00,24.1167,18.67,45.15,0.13,8,0.80,1,0.26,0.41,0.41,0.41,theft,
80,14,0.26,23.8833,27.98,36.53,0.11,10,0.00,0,0.15,0.00,0.00,0.00,normal,
81,14,0.15,23.9000,23.55,46.09,0.11,8,0.12,1,0.09,0.07,0.07,0.07,evaporation,
82,14,0.09,24.1000,25.82,41.43,0.04,1,0.18,1,0.15,0.08,0.08,0.08,evaporation,
83,14,0.15,24.3500,28.79,41.87,0.26,9,0.65,1,0.06,0.48,0.48,0.48,theft,
84,14,0.06,23.5333,20.97,43.76,0.07,3,0.21,1,0.13,0.07,0.07,0.07,evaporation,
85,14,0.13,24.4667,21.39,43.18,0.38,6,0.94,1,0.62,0.07,0.07,0.07,evaporation,
86,14,0.62,23.6000,24.70,42.73,0.52,10,0.73,1,0.10,0.73,0.73,0.73,missing_purchase,
87,14,0.10,24.4167,19.80,36.63,0.10,5,0.15,1,0.14,0.01,0.01,0.01,normal,
88,14,0.14,24.2333,25.95,37.58,0.08,9,1.51,1,0.06,1.51,1.51,1.51,missing_purchase,
89,14,0.06,23.9000,25.72,41.57,0.19,9,0.52,1,0.00,0.39,0.39,0.39,missing_purchase,
90,14,0.00,23.5833,25.75,43.47,0.16,3,0.92,1,0.00,0.76,0.76,0.76,missing_purchase,
91,14,0.00,24.5000,31.00,38.95,0.19,4,0.80,1,0.01,0.60,0.60,0.60,theft,
92,14,0.01,23.6500,29.08,36.89,0.05,9,0.79,1,0.07,0.68,0.68,0.68,theft,
93,14,0.07,24.4333,35.37,33.24,0.08,10,0.20,1,0.07,0.12,0.12,0.12,evaporation,
94,14,0.07,23.6667,30.53,33.86,0.23,3,0.73,1,0.05,0.52,0.52,0.52,theft,
95,14,0.05,23.5333,33.75,33.53,0.11,8,0.72,1,0.66,0.00,0.00,0.00,normal,
96,14,0.66,23.7500,32.33,36.17,0.18,4,0.14,1,0.14,0.48,0.48,0.48,theft,
97,14,0.14,24.5000,35.99,28.81,0.62,9,1.61,1,0.00,1.13,1.13,1.13,missing_purchase,
98,14,0.00,24.0500,33.86,23.24,0.38,1,0.95,1,0.44,0.13,0.13,0.13,evaporation,
99,14,0.44,24.4167,33.20,38.69,0.11,2,0.00,0,0.33,0.00,0.00,0.00,normal,
100,14,0.33,24.3000,30.24,28.99,0.13,2,0.00,0,0.19,0.01,0.01,0.01,normal,
101,14,0.19,23.7333,39.43,37.69,0.40,7,1.88,1,0.00,1.67,1.67,1.67,missing_purchase,
102,14,0.00,24.0333,33.24,27.72,0.05,4,0.80,1,0.34,0.41,0.41,0.41,theft,
103,14,0.34,24.4833,29.39,34.29,0.03,8,0.30,1,0.51,0.10,0.10,0.10,evaporation,
104,14,0.51,23.6333,38.62,29.38,0.76,1,1.35,1,0.00,1.10,1.10,1.10,missing_purchase,
105,14,0.00,23.7667,31.02,22.99,0.09,7,0.28,1,0.07,0.12,0.12,0.12,evaporation,
106,14,0.07,23.8000,31.33,22.44,0.31,2,0.99,1,0.76,-0.01,0.01,-0.01,normal,
107,14,0.76,24.4500,35.00,30.72,0.56,3,1.37,1,0.20,1.37,1.37,1.37,missing_purchase,
108,14,0.20,23.8000,34.01,32.30,0.18,2,0.71,1,0.02,0.71,0.71,0.71,missing_purchase,
109,14,0.02,24.0500,41.65,21.35,0.08,9,0.26,1,0.03,0.17,0.17,0.17,evaporation,
110,14,0.03,23.9000,40.23,20.87,0.18,1,0.96,1,0.00,0.81,0.81,0.81,missing_purchase,
111,14,0.00,23.8667,39.04,26.90,0.09,10,0.28,1,0.04,0.15,0.15,0.15,evaporation,
112,14,0.04,23.8500,29.87,27.05,0.39,8,1.00,1,0.64,0.01,0.01,0.01,normal,
113,14,0.64,24.0000,36.84,36.23,0.37,8,0.41,1,0.27,0.41,0.41,0.41,missing_purchase,
114,14,0.27,23.5333,32.11,20.88,0.04,5,0.64,1,0.23,0.64,0.64,0.64,missing_purchase,
115,14,0.23,24.0333,33.58,36.31,0.18,1,0.57,1,0.06,0.56,0.56,0.56,theft,
116,14,0.06,23.7000,32.01,37.24,0.15,6,1.02,1,0.82,0.11,0.11,0.11,evaporation,
117,14,0.82,23.9167,38.41,37.89,0.36,8,0.00,0,0.33,0.13,0.13,0.13,evaporation,
118,14,0.33,23.8833,40.94,30.39,0.29,7,0.47,1,0.10,0.41,0.41,0.41,theft,
119,14,0.10,24.1333,41.93,23.61,0.06,6,0.80,1,0.04,0.80,0.80,0.80,missing_purchase,
120,14,0.04,24.2000,32.14,28.92,0.26,3,0.76,1,0.05,0.49,0.49,0.49,theft,
121,14,0.05,23.8667,34.26,34.54,0.08,7,0.20,1,0.17,-0.00,0.00,-0.00,normal,
122,14,0.17,24.3333,41.27,21.50,0.04,3,0.00,0,0.12,0.01,0.01,0.01,normal,
123,14,0.12,23.6500,39.88,33.56,0.03,4,0.15,1,0.10,0.14,0.14,0.14,evaporation,
124,14,0.10,23.8833,33.07,38.99,0.09,6,0.31,1,0.21,0.11,0.11,0.11,evaporation,
125,14,0.21,24.3000,29.08,22.75,0.17,5,0.92,1,0.04,0.92,0.92,0.92,missing_purchase,
126,14,0.04,23.7500,41.45,20.52,0.36,2,0.82,1,0.50,0.00,0.00,0.00,normal,
127,14,0.50,23.7667,37.86,24.29,0.58,8,1.34,1,0.00,1.26,1.26,1.26,missing_purchase,
128,14,0.00,23.7000,29.72,37.06,0.43,8,1.07,1,0.00,0.64,0.64,0.64,missing_purchase,
129,14,0.00,23.5833,39.35,39.35,0.08,2,0.25,1,0.17,-0.00,0.00,-0.00,normal,
130,14,0.17,23.8000,40.48,37.03,0.26,3,0.63,1,0.04,0.50,0.50,0.50,theft,
131,14,0.04,24.0333,31.14,39.70,0.29,4,0.76,1,0.03,0.48,0.48,0.48,theft,
132,14,0.03,23.5167,33.05,31.45,0.11,3,0.22,1,0.14,0.00,0.00,0.00,normal,
133,14,0.14,23.5833,28.92,27.96,0.37,7,1.52,1,0.00,1.29,1.29,1.29,missing_purchase,
134,14,0.00,24.3167,33.73,31.50,0.06,6,0.80,1,0.13,0.61,0.61,0.61,theft,
135,14,0.13,23.9667,34.52,30.35,0.06,9,0.67,1,0.13,0.61,0.61,0.61,theft,
136,14,0.13,23.6833,38.75,22.58,0.19,1,0.67,1,0.04,0.57,0.57,0.57,theft,
137,14,0.04,24.0500,30.14,23.29,0.29,6,0.85,1,0.00,0.60,0.60,0.60,missing_purchase,
138,14,0.00,24.5000,41.17,37.90,0.04,9,0.25,1,0.21,0.00,0.00,0.00,normal,
139,14,0.21,24.1667,32.24,30.67,0.19,3,0.59,1,0.09,0.52,0.52,0.52,theft,
140,14,0.09,24.1167,30.16,33.17,0.08,10,0.18,1,0.09,0.10,0.10,0.10,evaporation,
141,14,0.09,24.4167,28.40,20.91,0.39,4,1.39,1,0.00,1.09,1.09,1.09,missing_purchase,
142,14,0.00,24.3167,36.01,32.36,0.03,9,0.80,1,0.27,0.50,0.50,0.50,theft,
143,14,0.27,23.8167,34.76,36.09,0.25,2,1.46,1,0.02,1.46,1.46,1.46,missing_purchase,
144,14,0.02,24.2333,28.84,28.79,0.18,4,0.78,1,0.15,0.47,0.47,0.47,theft,
145,14,0.15,23.6500,32.38,34.37,0.11,7,0.12,1,0.05,0.11,0.11,0.11,evaporation,
146,14,0.05,23.8833,35.21,22.12,0.06,8,0.71,1,0.00,0.70,0.70,0.70,missing_purchase,
147,14,0.00,23.7500,29.97,21.01,0.34,10,0.80,1,0.04,0.42,0.42,0.42,theft,
148,14,0.04,24.4167,40.63,36.27,0.08,4,0.21,1,0.17,-0.00,0.00,-0.00,normal,
149,14,0.17,24.0167,41.94,29.34,0.45,2,1.79,1,0.00,1.51,1.51,1.51,missing_purchase,
150,14,0.00,24.5000,33.51,29.14,0.04,5,0.92,1,0.76,0.12,0.12,0.12,evaporation,
151,14,0.76,24.4333,39.80,33.45,0.06,3,0.11,1,0.80,0.01,0.01,0.01,normal,
152,14,0.80,24.2667,40.56,33.07,0.26,6,0.17,1,0.57,0.14,0.14,0.14,evaporation,
153,14,0.57,23.5667,40.70,34.01,0.21,10,0.23,1,0.07,0.52,0.52,0.52,theft,
154,14,0.07,23.6167,38.90,26.93,0.44,9,0.93,1,0.00,0.56,0.56,0.56,missing_purchase,
155,14,0.00,24.5000,40.56,27.89,0.06,1,0.25,1,0.20,-0.01,0.01,-0.01,normal,
156,14,0.20,23.6333,43.00,41.08,0.03,9,0.00,0,0.18,-0.01,0.01,-0.01,normal,
157,14,0.18,24.4833,42.29,28.25,0.06,5,0.00,0,0.12,0.00,0.00,0.00,normal,
158,14,0.12,24.0333,43.80,35.65,0.26,5,0.68,1,0.08,0.46,0.46,0.46,theft,
159,14,0.08,23.5167,40.58,38.48,0.08,1,0.20,1,0.07,0.13,0.13,0.13,evaporation,
160,14,0.07,23.7667,44.77,40.66,0.07,1,0.18,1,0.18,0.00,0.00,0.00,normal,
161,14,0.18,23.6667,41.67,39.42,0.28,7,0.62,1,0.10,0.42,0.42,0.42,theft,
162,14,0.10,24.2167,39.70,36.45,0.04,8,0.17,1,0.10,0.13,0.13,0.13,evaporation,
163,14,0.10,23.6500,40.89,29.08,0.08,8,0.15,1,0.16,0.01,0.01,0.01,normal,
164,14,0.16,24.2833,43.09,39.12,0.20,9,0.64,1,0.14,0.46,0.46,0.46,theft,
165,14,0.14,24.2000,41.35,32.54,0.07,9,0.13,1,0.06,0.14,0.14,0.14,evaporation,
166,14,0.06,23.8667,42.73,42.35,0.55,5,1.46,1,0.00,0.97,0.97,0.97,missing_purchase,
167,14,0.00,24.1500,41.39,44.15,0.22,5,0.52,1,0.30,0.00,0.00,0.00,normal,
168,14,0.30,24.2500,39.45,39.10,0.13,6,0.50,1,0.12,0.55,0.55,0.55,theft,
169,14,0.12,24.4833,43.57,30.47,0.20,7,0.51,1,0.00,0.43,0.43,0.43,missing_purchase,
170,14,0.00,24.4500,44.86,41.37,0.09,5,0.25,1,0.17,-0.01,0.01,-0.01,normal,
171,14,0.17,24.2500,38.55,43.48,0.54,4,1.42,1,0.00,1.05,1.05,1.05,missing_purchase,
172,14,0.00,23.7000,43.80,30.42,0.05,2,0.28,1,0.07,0.16,0.16,0.16,evaporation,
173,14,0.07,24.1167,39.67,26.02,0.21,4,1.84,1,0.00,1.70,1.70,1.70,missing_purchase,
174,14,0.00,23.5500,38.70,31.61,0.18,3,0.80,1,0.22,0.40,0.40,0.40,theft,
175,14,0.22,24.0833,44.85,28.16,0.09,8,0.00,0,0.13,0.00,0.00,0.00,normal,
176,14,0.13,23.7000,43.29,30.74,0.11,10,0.18,1,0.20,0.00,0.00,0.00,normal,
177,14,0.20,24.2833,43.06,43.73,0.03,3,0.00,0,0.16,0.01,0.01,0.01,normal,
178,14,0.16,23.5333,44.98,32.94,0.11,5,0.11,1,0.00,0.16,0.16,0.16,evaporation,
179,14,0.00,23.5000,40.09,37.06,0.05,8,0.25,1,0.19,0.01,0.01,0.01,normal,
180,14,0.19,24.0667,41.67,42.79,0.14,2,0.81,1,0.86,0.00,0.00,0.00,normal,
181,14,0.86,24.2667,41.21,30.15,0.72,10,1.13,1,1.27,-0.00,0.00,-0.00,normal,
182,14,1.27,23.7000,31.40,88.12,0.47,9,0.00,0,0.76,0.04,0.04,0.04,evaporation,
183,14,0.76,23.9167,35.35,69.99,0.16,5,0.55,1,1.08,0.07,0.07,0.07,evaporation,
184,14,1.08,23.9667,36.03,90.76,0.62,1,0.81,1,0.46,0.81,0.81,0.81,missing_purchase,
185,14,0.46,23.7667,35.23,83.70,0.06,5,0.41,1,0.40,0.41,0.41,0.41,missing_purchase,
186,14,0.40,23.6667,33.24,78.57,0.32,5,0.40,1,0.03,0.45,0.45,0.45,theft,
187,14,0.03,24.1667,37.33,72.97,0.15,3,1.34,1,0.00,1.22,1.22,1.22,missing_purchase,
188,14,0.00,24.0000,31.23,85.19,0.23,7,0.80,1,0.06,0.51,0.51,0.51,theft,
189,14,0.06,24.4667,33.77,79.51,0.04,4,0.19,1,0.21,0.00,0.00,0.00,normal,
190,14,0.21,24.1333,36.99,67.21,0.07,2,0.00,0,0.06,0.08,0.08,0.08,evaporation,
191,14,0.06,23.6167,30.49,79.79,0.32,3,1.16,1,0.00,0.90,0.90,0.90,missing_purchase,
192,14,0.00,23.6667,32.62,79.05,0.06,4,0.80,1,0.10,0.64,0.64,0.64,theft,
193,14,0.10,24.0167,30.73,78.78,0.29,8,0.70,1,0.10,0.41,0.41,0.41,theft,
194,14,0.10,23.9333,33.65,66.56,0.10,1,0.17,1,0.10,0.07,0.07,0.07,evaporation,
195,14,0.10,24.3667,30.02,70.88,0.26,9,0.69,1,0.47,0.06,0.06,0.06,evaporation,
196,14,0.47,24.4833,37.15,91.63,0.07,3,0.00,0,0.40,-0.00,0.00,-0.00,normal,
197,14,0.40,24.3167,35.13,84.69,0.35,6,0.40,1,0.01,0.44,0.44,0.44,theft,
198,14,0.01,23.9000,33.59,89.76,0.03,9,0.27,1,0.21,0.04,0.04,0.04,evaporation,
199,14,0.21,24.4167,32.78,69.82,0.06,4,0.00,0,0.08,0.07,0.07,0.07,evaporation,
200,14,0.08,24.3000,30.18,73.06,0.08,9,0.20,1,0.14,0.06,0.06,0.06,evaporation,
201,14,0.14,23.7333,31.98,74.35,0.39,2,0.77,1,0.00,0.52,0.52,0.52,missing_purchase,
202,14,0.00,23.5333,36.48,76.32,0.28,1,0.80,1,0.09,0.43,0.43,0.43,theft,
203,14,0.09,23.5667,30.81,65.91,0.09,1,0.18,1,0.11,0.07,0.07,0.07,evaporation,
204,14,0.11,23.5333,33.22,71.33,0.05,9,1.31,1,1.36,0.01,0.01,0.01,normal,
205,14,1.36,23.7333,36.53,84.75,0.70,6,0.94,1,1.55,0.05,0.05,0.05,evaporation,
206,14,1.55,24.4333,31.15,82.83,0.08,10,0.52,1,1.94,0.05,0.05,0.05,evaporation,
207,14,1.94,24.4667,31.40,83.33,0.49,1,0.00,0,0.04,1.41,1.41,1.41,theft,
208,14,0.04,24.5000,35.15,75.29,0.20,7,0.76,1,0.12,0.48,0.48,0.48,theft,
209,14,0.12,23.8167,33.01,85.37,0.10,5,0.13,1,0.14,0.01,0.01,0.01,normal,
210,14,0.14,23.6500,36.45,89.70,0.12,9,0.13,1,0.11,0.04,0.04,0.04,evaporation,
211,14,0.11,23.9000,31.94,70.49,0.24,8,0.69,1,0.03,0.53,0.53,0.53,theft,
212,14,0.03,23.5833,34.29,87.39,0.04,7,0.77,1,0.12,0.64,0.64,0.64,theft,
213,14,0.12,24.1333,30.32,66.97,0.08,9,0.15,1,0.12,0.07,0.07,0.07,evaporation,
214,14,0.12,23.7167,36.96,73.99,0.03,4,1.93,1,0.09,1.93,1.93,1.93,missing_purchase,
215,14,0.09,24.2833,30.94,91.99,0.04,10,0.18,1,0.19,0.04,0.04,0.04,evaporation,
216,14,0.19,23.9167,37.32,79.91,0.28,7,0.61,1,0.07,0.45,0.45,0.45,theft,
217,14,0.07,24.1833,32.87,72.06,0.19,8,0.73,1,0.12,0.49,0.49,0.49,theft,
218,14,0.12,24.3500,37.85,77.68,0.31,4,0.68,1,0.06,0.43,0.43,0.43,theft,
219,14,0.06,23.9333,30.37,88.33,0.27,1,0.74,1,0.10,0.43,0.43,0.43,theft,
220,14,0.10,24.4833,34.67,84.44,0.10,4,0.80,1,0.00,0.80,0.80,0.80,missing_purchase,
221,14,0.00,23.9000,34.56,71.63,0.10,6,0.25,1,0.15,0.00,0.00,0.00,normal,
222,14,0.15,24.3667,33.91,84.54,0.27,8,0.65,1,0.11,0.42,0.42,0.42,theft,
223,14,0.11,24.3333,32.82,68.78,0.13,9,1.23,1,0.00,1.21,1.21,1.21,missing_purchase,
224,14,0.00,24.1833,37.66,79.15,0.03,1,0.25,1,0.22,0.00,0.00,0.00,normal,
225,14,0.22,23.9333,31.10,82.03,0.07,8,0.31,1,0.41,0.05,0.05,0.05,evaporation,
226,14,0.41,24.1500,35.10,90.22,0.13,1,0.00,0,0.29,-0.01,0.01,-0.01,normal,
227,14,0.29,24.0833,33.29,65.45,0.08,5,0.00,0,0.22,-0.01,0.01,-0.01,normal,
228,14,0.22,24.3667,35.58,76.63,0.19,2,1.90,1,0.03,1.90,1.90,1.90,missing_purchase,
229,14,0.03,24.0500,31.19,70.18,0.09,5,0.22,1,0.15,0.01,0.01,0.01,normal,
230,14,0.15,23.5833,32.98,75.96,0.12,4,0.12,1,0.09,0.06,0.06,0.06,evaporation,
231,14,0.09,24.3667,36.78,82.65,0.64,2,1.76,1,0.00,1.21,1.21,1.21,missing_purchase,
232,14,0.00,23.9167,33.03,79.92,0.04,8,0.36,1,0.32,0.00,0.00,0.00,normal,
233,14,0.32,24.1833,36.28,80.28,0.03,9,0.00,0,0.28,0.01,0.01,0.01,normal,
234,14,0.28,23.7333,31.69,88.44,0.07,1,0.00,0,0.20,0.01,0.01,0.01,normal,
235,14,0.20,24.2167,37.40,89.28,0.04,6,1.26,1,0.16,1.26,1.26,1.26,missing_purchase,
236,14,0.16,23.5167,37.69,80.85,0.09,7,0.11,1,0.12,0.06,0.06,0.06,evaporation,
237,14,0.12,23.8167,31.30,71.49,0.34,9,1.72,1,0.00,1.50,1.50,1.50,missing_purchase,
238,14,0.00,23.8500,33.07,84.97,0.10,2,0.28,1,0.13,0.05,0.05,0.05,evaporation,
239,14,0.13,23.8667,30.43,76.80,0.05,10,0.12,1,0.19,0.01,0.01,0.01,normal,
240,14,0.19,23.9167,37.75,73.81,0.07,8,0.00,0,0.05,0.07,0.07,0.07,evaporation,
241,14,0.05,23.8667,34.42,75.14,0.18,10,0.92,1,0.73,0.06,0.06,0.06,evaporation,
242,14,0.73,23.7500,35.70,67.22,0.53,7,1.10,1,1.23,0.07,0.07,0.07,evaporation,
243,14,1.23,23.6000,30.73,90.46,0.42,2,0.00,0,0.78,0.03,0.03,0.03,evaporation,
244,14,0.78,23.6833,31.45,63.92,0.11,2,1.17,1,0.67,1.17,1.17,1.17,missing_purchase,
245,14,0.67,23.8667,32.43,64.92,0.29,7,0.13,1,0.11,0.40,0.40,0.40,theft,
246,14,0.11,23.9333,31.10,52.12,0.79,4,1.83,1,0.00,1.15,1.15,1.15,missing_purchase,
247,14,0.00,24.1000,32.17,67.13,0.08,5,0.80,1,0.23,0.49,0.49,0.49,theft,
248,14,0.23,24.0167,29.17,54.18,0.27,6,0.52,1,0.40,0.08,0.08,0.08,evaporation,
249,14,0.40,23.7500,33.77,62.40,0.09,3,0.00,0,0.31,0.00,0.00,0.00,normal,
250,14,0.31,24.5000,31.17,71.04,0.15,6,0.49,1,0.14,0.51,0.51,0.51,theft,
251,14,0.14,23.9500,34.52,71.49,0.03,6,0.11,1,0.22,0.00,0.00,0.00,normal,
252,14,0.22,24.2333,29.61,57.85,0.10,5,0.00,0,0.04,0.08,0.08,0.08,evaporation,
253,14,0.04,24.1667,31.93,64.40,0.14,7,0.71,1,0.00,0.61,0.61,0.61,missing_purchase,
